OD_in_Isolation,Absolute_Abundance,Isolate
0.067730581,0.012070889,Enterococcus hirae
0.081118585,0.068140807,Escherichia fergusonii
0.028383547,0.00944261,Clostridium symbiosum
0.041038731,0.008729689,Bacteroides thetaiotaomicron
0.037582452,0.00300824,Clostridium clostridioforme
0.030018297,0.00531456,Blautia producta
0.009055504,0.00033645,Clostridium scindens
0.004356126,0.002770428,Clostridium hathewayi
0.061,0.012507244,Bacteroides fragilis
0.012936095,0.000960001,Flavonifractor plautii
0.0035,0.004714092,Bacteroides uniformis
0.0025,0.002177815,Parabacteroides distasonis