"time","Alignment.ID","Metabolite.name","value","rep","species","polarity","met.id","met.id.pol","value.norm","value.norm.mean"
8,6157,"Glycerophosphocholine",1077233,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.0021182602176334,0.00138138500547316
9,6157,"Glycerophosphocholine",891816,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00158672044640339,0.00130592132739263
9,6157,"Glycerophosphocholine",591105,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.0011463643403207,0.00130592132739263
9,6157,"Glycerophosphocholine",602464,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00118467919545381,0.00130592132739263
10,6157,"Glycerophosphocholine",617965,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00109948431140691,0.0010851230918354
10,6157,"Glycerophosphocholine",475749,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.000922647733555344,0.0010851230918354
10,6157,"Glycerophosphocholine",627158,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00123323723054393,0.0010851230918354
12,6157,"Glycerophosphocholine",891221,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00158566182145653,0.00139900025696142
12,6157,"Glycerophosphocholine",816236,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00158297399562854,0.00139900025696142
12,6157,"Glycerophosphocholine",522971,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00102836495379918,0.00139900025696142
14,6157,"Glycerophosphocholine",705404,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00125505591935414,0.00129798168724314
14,6157,"Glycerophosphocholine",583126,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00113089020108754,0.00129798168724314
14,6157,"Glycerophosphocholine",766887,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00150799894128775,0.00129798168724314
16,6157,"Glycerophosphocholine",513172,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.000913036439043165,0.0012158859392024
16,6157,"Glycerophosphocholine",964211,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00186995052815483,0.0012158859392024
16,6157,"Glycerophosphocholine",439725,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.000864670850409194,0.0012158859392024
18,6157,"Glycerophosphocholine",562912,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00100153392619758,0.00124200178189615
18,6157,"Glycerophosphocholine",493758,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.000957573635729806,0.00124200178189615
18,6157,"Glycerophosphocholine",898549,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00176689778376106,0.00124200178189615
20,6157,"Glycerophosphocholine",1330790,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00236774368577057,0.00173703734031724
20,6157,"Glycerophosphocholine",876130,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00169912991682556,0.00173703734031724
20,6157,"Glycerophosphocholine",581898,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00114423841835558,0.00173703734031724
22,6157,"Glycerophosphocholine",969837,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00172553553376316,0.00179936204108587
22,6157,"Glycerophosphocholine",1335694,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00259038913759876,0.00179936204108587
22,6157,"Glycerophosphocholine",550329,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00108216145189571,0.00179936204108587
24,6157,"Glycerophosphocholine",1219064,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00216896060877389,0.00226522913865419
24,6157,"Glycerophosphocholine",1410794,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00273603493988107,0.00226522913865419
24,6157,"Glycerophosphocholine",961504,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00189069186730762,0.00226522913865419
28,6157,"Glycerophosphocholine",492870,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.000876915088335304,0.00139515946056093
28,6157,"Glycerophosphocholine",1232058,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00238940180916561,0.00139515946056093
28,6157,"Glycerophosphocholine",467436,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.000919161484181868,0.00139515946056093
32,6157,"Glycerophosphocholine",436197,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.000776082396547963,0.0016109682243441
32,6157,"Glycerophosphocholine",1233644,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00239247763130169,0.0016109682243441
32,6157,"Glycerophosphocholine",846396,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00166434464518265,0.0016109682243441
36,6157,"Glycerophosphocholine",518079,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.000921766981251985,0.00214168526987098
36,6157,"Glycerophosphocholine",1442786,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.0027980788880384,0.00214168526987098
36,6157,"Glycerophosphocholine",1375724,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00270520994032256,0.00214168526987098
40,6157,"Glycerophosphocholine",451585,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.000803460750635864,0.00150073938879426
40,6157,"Glycerophosphocholine",1430815,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00277486283079311,0.00150073938879426
40,6157,"Glycerophosphocholine",469843,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.000923894584953794,0.00150073938879426
44,6157,"Glycerophosphocholine",555763,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.000988814414020926,0.000962669627708596
44,6157,"Glycerophosphocholine",562165,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00109023931344919,0.000962669627708596
44,6157,"Glycerophosphocholine",411391,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.000808955155655668,0.000962669627708596
48,6157,"Glycerophosphocholine",464256,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00082600501400003,0.00191124888106065
48,6157,"Glycerophosphocholine",1272727,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.0024682735685933,0.00191124888106065
48,6157,"Glycerophosphocholine",1240582,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00243946806058864,0.00191124888106065
0,2092,"Lysine",641089152,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",1,1
0,2092,"Lysine",614696768,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",1,1
0,2092,"Lysine",585159872,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",1,1
1,2092,"Lysine",638449152,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.995882006445366,1.08678052962397
1,2092,"Lysine",704781376,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",1.14655129413898,1.08678052962397
1,2092,"Lysine",654155072,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",1.11790828828757,1.08678052962397
2,2092,"Lysine",697353920,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",1.08776434094495,1.06157753393891
2,2092,"Lysine",595963712,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.969524718617807,1.06157753393891
2,2092,"Lysine",659734720,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",1.12744354225396,1.06157753393891
3,2092,"Lysine",606479424,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.946014171604616,0.961201398193468
3,2092,"Lysine",615390784,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",1.00112903635581,0.961201398193468
3,2092,"Lysine",547979392,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.936460986619976,0.961201398193468
4,2092,"Lysine",460968224,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.719039187986386,0.743293306659067
4,2092,"Lysine",464888896,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.756289799206672,0.743293306659067
4,2092,"Lysine",441532928,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.754550932784142,0.743293306659067
5,2092,"Lysine",213361680,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.332811246301027,0.33752917916871
5,2092,"Lysine",181318720,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.294972625763061,0.33752917916871
5,2092,"Lysine",225171664,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.384803665442042,0.33752917916871
6,2092,"Lysine",121263248,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.189151925956857,0.206077285855862
6,2092,"Lysine",114019664,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.185489284717552,0.206077285855862
6,2092,"Lysine",142539472,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.243590646893178,0.206077285855862
7,2092,"Lysine",88418824,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.137919700538125,0.149299471041555
7,2092,"Lysine",83885248,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.136466062993085,0.149299471041555
7,2092,"Lysine",101532640,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.173512649593456,0.149299471041555
8,2092,"Lysine",50526944,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.0788142238307376,0.0874317884384424
8,2092,"Lysine",58043016,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.094425445076644,0.0874317884384424
8,2092,"Lysine",52111820,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.0890556964079456,0.0874317884384424
9,2092,"Lysine",23316620,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.036370323676339,0.035596871321467
9,2092,"Lysine",21983814,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.0357636726084695,0.035596871321467
9,2092,"Lysine",20279662,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.0346566176795927,0.035596871321467
10,2092,"Lysine",5556954,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00866798942704931,0.0101793072525804
10,2092,"Lysine",6352732,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.010334741160808,0.0101793072525804
10,2092,"Lysine",6749931,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.0115351911698839,0.0101793072525804
12,2092,"Lysine",1918176,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.0029920581108319,0.00282541080756007
12,2092,"Lysine",1690058,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00274941741234368,0.00282541080756007
12,2092,"Lysine",1600270,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00273475689950462,0.00282541080756007
14,2092,"Lysine",1222015,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00190615454072423,0.00205944575435557
14,2092,"Lysine",1284716,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00208999959783423,0.00205944575435557
14,2092,"Lysine",1276926,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00218218312450827,0.00205944575435557
16,2092,"Lysine",980970,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00153016159360912,0.00205930503061061
16,2092,"Lysine",1569372,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00255308320971507,0.00205930503061061
16,2092,"Lysine",1225717,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00209467028850763,0.00205930503061061
18,2092,"Lysine",1301611,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00203031199936711,0.00234201049458684
18,2092,"Lysine",981858,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00159730463785795,0.00234201049458684
18,2092,"Lysine",1988616,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00339841484653545,0.00234201049458684
20,2092,"Lysine",2323498,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.0036242977893591,0.00281387002009619
20,2092,"Lysine",1778774,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00289374223146437,0.00281387002009619
20,2092,"Lysine",1125596,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.0019235700394651,0.00281387002009619
22,2092,"Lysine",1856669,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00289611669658058,0.00273687067512356
22,2092,"Lysine",2076965,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00337884483007588,0.00273687067512356
22,2092,"Lysine",1132665,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00193565049871422,0.00273687067512356
24,2092,"Lysine",1978267,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00308579078392237,0.00353590621362454
24,2092,"Lysine",2301144,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00374354334697992,0.00353590621362454
24,2092,"Lysine",2210959,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00377838450997135,0.00353590621362454
28,2092,"Lysine",1140545,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00177907393170322,0.00256718974553144
28,2092,"Lysine",2211963,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00359846205731399,0.00256718974553144
28,2092,"Lysine",1359931,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00232403324757711,0.00256718974553144
32,2092,"Lysine",1153251,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.0017988933280236,0.00296074043807037
32,2092,"Lysine",2237442,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00363991176273777,0.00296074043807037
32,2092,"Lysine",2014949,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00344341622344976,0.00296074043807037
36,2092,"Lysine",1196620,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00186654226545617,0.00331472953316377
36,2092,"Lysine",2459035,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00400040332731926,0.00331472953316377
36,2092,"Lysine",2385839,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00407724300671588,0.00331472953316377
40,2092,"Lysine",1080572,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00168552532037615,0.00243172160044559
40,2092,"Lysine",2093957,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00340648772793533,0.00243172160044559
40,2092,"Lysine",1289196,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00220315175302528,0.00243172160044559
44,2092,"Lysine",1484307,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00231528952417013,0.0024192414239175
44,2092,"Lysine",1636870,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00266289019651574,0.0024192414239175
44,2092,"Lysine",1333898,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00227954455106665,0.0024192414239175
48,2092,"Lysine",1188782,1,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00185431619679892,0.00369552702695161
48,2092,"Lysine",2195182,2,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00357116241813205,0.00369552702695161
48,2092,"Lysine",3312650,3,"15-mem","pos","Lysine_2092","Lysine_2092_Hilic-pos",0.00566110246592387,0.00369552702695161
0,732,"L-Threonine",43967592,1,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",1,1
0,732,"L-Threonine",49189336,2,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",1,1
0,732,"L-Threonine",50328700,3,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",1,1
1,732,"L-Threonine",41327380,1,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.939950931587272,1.00408813440354
1,732,"L-Threonine",51984380,2,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",1.05682213199987,1.00408813440354
1,732,"L-Threonine",51108360,3,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",1.01549133962349,1.00408813440354
2,732,"L-Threonine",50131836,1,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",1.14019969207775,0.976216719487406
2,732,"L-Threonine",40276468,2,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.818804856019913,0.976216719487406
2,732,"L-Threonine",48801004,3,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.969645610364551,0.976216719487406
3,732,"L-Threonine",47875232,1,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",1.08887543605128,0.959225453404264
3,732,"L-Threonine",45177860,2,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.918448240113503,0.959225453404264
3,732,"L-Threonine",43803720,3,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.870352684048015,0.959225453404264
4,732,"L-Threonine",57637264,1,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",1.31090332827635,1.1133744195268
4,732,"L-Threonine",48612168,2,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.988266379764379,1.1133744195268
4,732,"L-Threonine",52389840,3,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",1.04095355053968,1.1133744195268
5,732,"L-Threonine",46999140,1,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",1.06894957838606,0.992543423476689
5,732,"L-Threonine",46489660,2,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.945116621514943,0.992543423476689
5,732,"L-Threonine",48494928,3,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.963564070529061,0.992543423476689
6,732,"L-Threonine",39653852,1,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.901888170225739,0.88737119820564
6,732,"L-Threonine",43511924,2,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.884580412214135,0.88737119820564
6,732,"L-Threonine",44070076,3,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.875645012177048,0.88737119820564
7,732,"L-Threonine",35148264,1,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.799412967637323,0.762440502530438
7,732,"L-Threonine",38454896,2,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.781773009056821,0.762440502530438
7,732,"L-Threonine",35538884,3,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.706135530897171,0.762440502530438
8,732,"L-Threonine",29384088,1,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.6683124090964,0.62943939131814
8,732,"L-Threonine",26588180,2,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.540527309811067,0.62943939131814
8,732,"L-Threonine",34197268,3,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.679478455046952,0.62943939131814
9,732,"L-Threonine",26960062,1,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.613180303047292,0.600217671690599
9,732,"L-Threonine",26193138,2,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.532496260317556,0.600217671690599
9,732,"L-Threonine",32964114,3,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.65497645170695,0.600217671690599
10,732,"L-Threonine",23138550,1,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.526263741569842,0.414228170900156
10,732,"L-Threonine",17028872,2,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.346190313563283,0.414228170900156
10,732,"L-Threonine",18633218,3,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.370230457567343,0.414228170900156
12,732,"L-Threonine",1108812,1,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.02521884698123,0.0461249275244612
12,732,"L-Threonine",1113735,2,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.0226417973472584,0.0461249275244612
12,732,"L-Threonine",4555459,3,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.0905141382448953,0.0461249275244612
14,732,"L-Threonine",988630,1,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.0224854246626601,0.0220695976508775
14,732,"L-Threonine",1065601,2,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.0216632519360853,0.0220695976508775
14,732,"L-Threonine",1110257,3,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.0220601163538872,0.0220695976508775
16,732,"L-Threonine",1006745,1,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.0228974326613695,0.0215219778577146
16,732,"L-Threonine",1065264,2,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.0216564008577713,0.0215219778577146
16,732,"L-Threonine",1007183,3,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.020012100054003,0.0215219778577146
18,732,"L-Threonine",924445,1,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.0210255994682265,0.0191598128027248
18,732,"L-Threonine",892955,2,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.0181534262191824,0.0191598128027248
18,732,"L-Threonine",921036,3,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.0183004127207654,0.0191598128027248
20,732,"L-Threonine",858525,1,"15-mem","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",0.0195263133917747,0.0183231185549018
