Community,CarbonSource,OD,Replicate
15,Acetate,0.199409080714,1
15,Acetate,0.197243118848,2
15,Acetate,0.193994176049,3
15,Acetate,0.122517434471,4
15,Succinate,0.279549669756,1
15,Succinate,0.287130536287,2
15,Succinate,0.280632650689,3
15,Succinate,0.237313413369,4
15,ddH2O,0.227566584972,1
15,ddH2O,0.20157504258,2
15,ddH2O,0.138762148466,3
15,ddH2O,0.027215112367,4
15,Galactitol,0.250309184565,1
15,Galactitol,0.252475146431,2
15,Galactitol,0.245977260833,3
15,Galactitol,0.241645337101,4
15,Oxaloacetate,0.257890051096,1
15,Oxaloacetate,0.264387936694,2
15,Oxaloacetate,0.275217746024,3
15,Oxaloacetate,0.283881593488,4
15,Citrate,0.227566584972,1
15,Citrate,0.295794383751,2
15,Citrate,0.271968803225,3
15,Citrate,0.275217746024,4
15,Pyruvate,0.325034868942,1
15,Pyruvate,0.328283811741,2
15,Pyruvate,0.339113621071,3
15,Pyruvate,0.344528525736,4
15,Glycerol,0.333698716406,1
15,Glycerol,0.343445544803,2
15,Glycerol,0.341279582937,3
15,Glycerol,0.341279582937,4
15,Fumarate,0.330449773607,1
15,Fumarate,0.321785926143,2
15,Fumarate,0.308790154947,3
15,Fumarate,0.031547036099,4
15,Rhamnose,0.333698716406,1
15,Rhamnose,0.344528525736,2
15,Rhamnose,0.352109392267,3
15,Rhamnose,0.357524296932,4
15,Sucrose,0.317454002411,1
15,Sucrose,0.317454002411,2
15,Sucrose,0.321785926143,3
15,Sucrose,0.323951888009,4
15,Galactose,0.406258438917,1
15,Galactose,0.408424400783,2
15,Galactose,0.408424400783,3
15,Galactose,0.416005267314,4
15,Fructose,0.375934972793,1
15,Fructose,0.378100934659,2
15,Fructose,0.38568180119,3
15,Fructose,0.387847763056,4
15,Melibiose,0.398677572386,1
15,Melibiose,0.399760553319,2
15,Melibiose,0.400843534252,3
15,Melibiose,0.38568180119,4
15,Glucose,0.382432858391,1
15,Glucose,0.391096705855,2
15,Glucose,0.391096705855,3
15,Glucose,0.398677572386,4
15,Fucose,0.370520068128,1
15,Fucose,0.37485199186,2
15,Fucose,0.391096705855,3
15,Fucose,0.378100934659,4
15,Sorbitol,0.434415943175,1
15,Sorbitol,0.424669114778,2
15,Sorbitol,0.423586133845,3
15,Sorbitol,0.412756324515,4
15,Mannitol,0.445245752505,1
15,Mannitol,0.452826619036,2
15,Mannitol,0.449577676237,3
15,Mannitol,0.446328733438,4
15,Mannose,0.408424400783,1
15,Mannose,0.414922286381,2
15,Mannose,0.40734141985,3
15,Mannose,0.404092477051,4
15,Maltose,0.365105163463,1
15,Maltose,0.366188144396,2
15,Maltose,0.36402218253,3
15,Maltose,0.362939201597,4
15,Ribose,0.322868907076,1
15,Ribose,0.323951888009,2
15,Ribose,0.330449773607,3
15,Ribose,0.336947659205,4
15,Lactose,0.48315008516,1
15,Lactose,0.480984123294,2
15,Lactose,0.499394799155,3
15,Lactose,0.501560761021,4
15,Arabinose,0.4614904665,1
15,Arabinose,0.4614904665,2
15,Arabinose,0.465822390232,3
15,Arabinose,0.4614904665,4
14,Acetate,0.137610861385,1
14,Acetate,0.115319017048,2
14,Acetate,0.117442049842,3
14,Acetate,0.131241763003,4
14,Succinate,0.226778238733,1
14,Succinate,0.214040041969,2
14,Succinate,0.209793976381,3
14,Succinate,0.212978525572,4
14,ddH2O,0.171579386089,1
14,ddH2O,0.172640902486,2
14,ddH2O,0.167333320501,3
14,ddH2O,0.171579386089,4
14,Galactitol,0.179010000868,1
14,Galactitol,0.17476393528,2
14,Galactitol,0.169456353295,3
14,Galactitol,0.176886968074,4
14,Oxaloacetate,0.136549344988,1
14,Oxaloacetate,0.135487828591,2
14,Oxaloacetate,0.134426312194,3
14,Oxaloacetate,0.134426312194,4
14,Citrate,0.201301845205,1
14,Citrate,0.226778238733,2
14,Citrate,0.236331886306,3
14,Citrate,0.245885533879,4
14,Pyruvate,0.325499263654,1
14,Pyruvate,0.322314714463,2
14,Pyruvate,0.342483526006,3
14,Pyruvate,0.32337623086,4
14,Glycerol,0.313822583287,1
14,Glycerol,0.321253198066,2
14,Glycerol,0.304268935714,3
14,Glycerol,0.322314714463,4
14,Fumarate,0.242700984688,1
14,Fumarate,0.240577951894,2
14,Fumarate,0.226778238733,3
14,Fumarate,0.234208853512,4
14,Rhamnose,0.245885533879,1
14,Rhamnose,0.248008566673,2
14,Rhamnose,0.24907008307,3
14,Rhamnose,0.24907008307,4
14,Sucrose,0.444389100118,1
14,Sucrose,0.446512132912,2
14,Sucrose,0.445450616515,3
14,Sucrose,0.452881231294,4
14,Galactose,0.361590821152,1
14,Galactose,0.352037173579,2
14,Galactose,0.358406271961,3
14,Galactose,0.364775370343,4
14,Fructose,0.345668075197,1
14,Fructose,0.336114427624,2
14,Fructose,0.322314714463,3
14,Fructose,0.348852624388,4
14,Melibiose,0.374329017916,1
14,Melibiose,0.356283239167,2
14,Melibiose,0.369021435931,3
14,Melibiose,0.422097255781,4
14,Glucose,0.412543608208,1
14,Glucose,0.402989960635,2
14,Glucose,0.402989960635,3
14,Glucose,0.415728157399,4
14,Fucose,0.224655205939,1
14,Fucose,0.223593689542,2
14,Fucose,0.216163074763,3
14,Fucose,0.220409140351,4
14,Sorbitol,0.404051477032,1
14,Sorbitol,0.417851190193,2
14,Sorbitol,0.401928444238,3
14,Sorbitol,0.407236026223,4
14,Mannitol,0.414666641002,1
14,Mannitol,0.40829754262,2
14,Mannitol,0.392374796665,3
14,Mannitol,0.393436313062,4
14,Mannose,0.42952787056,1
14,Mannose,0.41891270659,2
14,Mannose,0.41891270659,3
14,Mannose,0.425281804972,4
14,Maltose,0.439081518133,1
14,Maltose,0.427404837766,2
14,Maltose,0.434835452545,3
14,Maltose,0.433773936148,4
14,Ribose,0.423158772178,1
14,Ribose,0.430589386957,2
14,Ribose,0.460311846073,3
14,Ribose,0.435896968942,4
14,Lactose,0.369021435931,1
14,Lactose,0.369021435931,2
14,Lactose,0.388128731077,3
14,Lactose,0.374329017916,4
14,Arabinose,0.250131599467,1
14,Arabinose,0.248008566673,2
14,Arabinose,0.236331886306,3
14,Arabinose,0.246947050276,4
hmSIC,Acetate,0.199,1
hmSIC,Acetate,0.177,2
hmSIC,Acetate,0.169,3
hmSIC,Acetate,0.276,4
hmSIC,Succinate,0.206,1
hmSIC,Succinate,0.2,2
hmSIC,Succinate,0.205,3
hmSIC,Succinate,0.196,4
hmSIC,ddH2O,0.225,1
hmSIC,ddH2O,0.224,2
hmSIC,ddH2O,0.219,3
hmSIC,ddH2O,0.218,4
hmSIC,Galactitol,0.356,1
hmSIC,Galactitol,0.246,2
hmSIC,Galactitol,0.24,3
hmSIC,Galactitol,0.238,4
hmSIC,Oxaloacetate,0.299,1
hmSIC,Oxaloacetate,0.302,2
hmSIC,Oxaloacetate,0.301,3
hmSIC,Oxaloacetate,0.306,4
hmSIC,Citrate,0.307,1
hmSIC,Citrate,0.316,2
hmSIC,Citrate,0.319,3
hmSIC,Citrate,0.319,4
hmSIC,Pyruvate,0.327,1
hmSIC,Pyruvate,0.326,2
hmSIC,Pyruvate,0.334,3
hmSIC,Pyruvate,0.341,4
hmSIC,Glycerol,0.335,1
hmSIC,Glycerol,0.335,2
hmSIC,Glycerol,0.342,3
hmSIC,Glycerol,0.338,4
hmSIC,Fumarate,0.345,1
hmSIC,Fumarate,0.343,2
hmSIC,Fumarate,0.331,3
hmSIC,Fumarate,0.336,4
hmSIC,Rhamnose,0.338,1
hmSIC,Rhamnose,0.34,2
hmSIC,Rhamnose,0.34,3
hmSIC,Rhamnose,0.339,4
hmSIC,Sucrose,0.374,1
hmSIC,Sucrose,0.373,2
hmSIC,Sucrose,0.383,3
hmSIC,Sucrose,0.382,4
hmSIC,Galactose,0.366,1
hmSIC,Galactose,0.373,2
hmSIC,Galactose,0.386,3
hmSIC,Galactose,0.388,4
hmSIC,Fructose,0.387,1
hmSIC,Fructose,0.387,2
hmSIC,Fructose,0.383,3
hmSIC,Fructose,0.376,4
hmSIC,Melibiose,0.397,1
hmSIC,Melibiose,0.404,2
hmSIC,Melibiose,0.399,3
hmSIC,Melibiose,0.382,4
hmSIC,Glucose,0.402,1
hmSIC,Glucose,0.412,2
hmSIC,Glucose,0.395,3
hmSIC,Glucose,0.404,4
hmSIC,Fucose,0.398,1
hmSIC,Fucose,0.415,2
hmSIC,Fucose,0.403,3
hmSIC,Fucose,0.414,4
hmSIC,Sorbitol,0.418,1
hmSIC,Sorbitol,0.431,2
hmSIC,Sorbitol,0.418,3
hmSIC,Sorbitol,0.448,4
hmSIC,Mannitol,0.423,1
hmSIC,Mannitol,0.428,2
hmSIC,Mannitol,0.435,3
hmSIC,Mannitol,0.436,4
hmSIC,Mannose,0.446,1
hmSIC,Mannose,0.419,2
hmSIC,Mannose,0.432,3
hmSIC,Mannose,0.439,4
hmSIC,Maltose,0.466,1
hmSIC,Maltose,0.455,2
hmSIC,Maltose,0.444,3
hmSIC,Maltose,0.435,4
hmSIC,Ribose,0.464,1
hmSIC,Ribose,0.479,2
hmSIC,Ribose,0.418,3
hmSIC,Ribose,0.446,4
hmSIC,Lactose,0.444,1
hmSIC,Lactose,0.456,2
hmSIC,Lactose,0.471,3
hmSIC,Lactose,0.497,4
hmSIC,Arabinose,0.483,1
hmSIC,Arabinose,0.464,2
hmSIC,Arabinose,0.457,3
hmSIC,Arabinose,0.494,4
