Log_Ratio_Data,Log_Ratio_AUCn,CS
-1.012564944,-0.237904755,Oxaloacetate
0.620332927,-0.322277702,Citrate
-0.524600347,-0.03646141,Pyruvate
0.058552098,-0.386201796,Glycerol
-0.066463036,-1.302790991,Fumarate
-1.240073095,-1.134608061,Rhamnose
1.963595152,1.330296931,Sucrose
-1.302029688,-0.286288518,Galactose
-0.127389373,-0.233191388,Fructose
-1.290562034,-0.355835054,Melibiose
0.045727996,-0.251106052,Glucose
0.078285596,-0.691562521,Sorbitol
-0.3941441,-0.790164727,Mannitol
-0.096957338,-0.232666504,Mannose
0.064761537,-0.204313627,Maltose
1.147792949,-0.098470295,Ribose
-1.241390251,-0.073016781,Lactose