Enterococcus spp.,Escherichia fergusonii,Clostridium symbiosum,Bacteroides thetaiotaomicron,Clostridium clostridioforme,Blautia producta,Clostridium scindens,Clostridium hylemonae,Clostridium hathewayi,Bacteroides fragilis,Flavonifractor plautii,Bacteroides uniformis,Parabacteroides distasonis,Other,CS
0,0,0.0666927,0,0.019663215,0.10814313,0,0,0.036400232,0.064020748,0.032625147,0,0,0.672454828,Galactitol
0.232955717,0.759590871,0,0,0.007418669,0,0,0,0,0,0,0,0,3.47435198999873e-05,Oxaloacetate
0.862605475,0.102657592,0.025584614,0,0.000407434,0,0,0,0,0,0,0.008744885,0,0,Citrate
0.087662403,0.767468117,0.007743371,0,0.008024487,0,0,0,0.000350906,0,0.006446835,0.018028559,0.002148512,0.102126809,Pyruvate
0,0.58653803,0.049172746,0.065928583,0.110489075,0.161478934,0,0,0.004968318,0.01545559,0.000720796,0,0.005247927,0,Glycerol
0.476068323,0.476448977,0.014268435,0,0.000847083,0,0,0,0,0,0.032367183,0,0,0,Fumarate
0,0.913623609,0.006997932,0.022831077,0.015345529,0,0,0,0.008472656,0,0.015314326,0,0.01741487,0,Rhamnose
0.554601612,0.137879096,0,0,0.001673145,0,0,0,0.023639472,0,0,0,0.050503591,0.231703084,Sucrose
0,0.897697022,0.022575202,0.02686554,0,0,0,0,0.024439215,0,0,0,0.020101767,0.008321254,Galactose
0.217844441,0.659718819,0.001285332,0.00652648,0.00232654,0,0,0,0.012111392,0,0,0,0,0.100186996,Fructose
0,0.873988264,0.056611385,0,0.001953007,0,0.000168078,1.95897741268111e-05,0.025730878,0,0.006275058,0,0.03525374,0,Melibiose
0.399752221,0.503873016,0.009448894,0,0.001884661,0,0,0,0.007821037,0,0,0,0.002595621,0.07462455,Glucose
0,0.912852271,0,0.023490565,0.016596735,0,0,0,0.003751487,0,0.032526002,0,0.006457469,0.00432547,Fucose
0.343767103,0.652687984,0.002503077,0,0,0,0,0,0,0,0.001041836,0,0,0,Sorbitol
0.206150691,0.7818355,0.002055873,0,0,0,0,0,0,0,0.009957936,0,0,0,Mannitol
0.327162673,0.660309868,0,0,0.000150329,0,0,0,0.00142174,0,0,0,0,0.01095539,Mannose
0.586891565,0.367922611,0,0,0,0,0,0,0,0,0,0,0.010640446,0.034545377,Maltose
0.729417189,0.260118548,0.001930045,0,0.001962411,0,0,0,0,0,0,0,0.006571808,0,Ribose
0.004066891,0.928341668,0.015330577,0,0.001363568,0,0,0,0.009271209,0,0.009115364,0,0.004410197,0.028100525,Lactose
0,0.940550379,0.022425696,0.004794793,0.011293947,0,0,0.000287932,0.008205365,0,0.012441889,0,0,0,Arabinose